# WPBL dice-game player cards -- v0.5.3, NOT FINAL. What changed between versions: data/dice/dice_version.md.
# Built from 39 games through 2026-09-22 (2798 plate appearances); code 043e51f + uncommitted changes.
# These FORECAST how a player would do in games we have not seen. They do not
# replay 2026: a card is pulled toward players her team used about as much, so it
# will not match her season line, by design (dice_game_spec.md section 3).
# A card that looks wrong is worth reporting: https://github.com/jgf1123/wpbl/issues
player,team,stamina,BF,fresh HR cells,fresh HR,fresh 1B cells,fresh 1B,fresh BB cells,fresh BB,fresh HBP cells,fresh HBP,fresh K cells,fresh K,fresh OUT cells,fresh OUT,fading HR cells,fading HR,fading 1B cells,fading 1B,fading BB cells,fading BB,fading HBP cells,fading HBP,fading K cells,fading K,fading OUT cells,fading OUT,gassed HR cells,gassed HR,gassed 1B cells,gassed 1B,gassed BB cells,gassed BB,gassed HBP cells,gassed HBP,gassed K cells,gassed K,gassed OUT cells,gassed OUT
Isabella Villarreal,LAQ,80,53,1,00,7,01-07,5,08-12,1,13,5,14-18,14,19-32,2,00-01,5,02-06,6,07-12,2,13-14,3,15-17,15,18-32,3,00-02,5,03-07,6,08-13,3,14-16,2,17-18,14,19-32
Raine Padgham,BOS,100,52,1,00,6,01-06,4,07-10,2,11-12,7,13-19,13,20-32,1,00,6,01-06,5,07-11,3,12-14,4,15-18,14,19-32,2,00-01,5,02-06,5,07-11,6,12-17,2,18-19,13,20-32
Claire Eccles,NYH,70,51,1,00,6,01-06,5,07-11,1,12,10,13-22,10,23-32,1,00,6,01-06,6,07-12,2,13-14,7,15-21,11,22-32,3,00-02,5,03-07,7,08-14,3,15-17,4,18-21,11,22-32
Olivia Bricker,BOS,50,49,1,00,8,01-08,6,09-14,1,15,1,16,16,17-32,2,00-01,7,02-08,7,09-15,1,16,1,17,15,18-32,4,00-03,6,04-09,6,10-15,2,16-17,1,18,14,19-32
Thaima Maximiliana,LAQ,70,40,1,00,7,01-07,6,08-13,1,14,4,15-18,14,19-32,2,00-01,7,02-08,6,09-14,2,15-16,2,17-18,14,19-32,3,00-02,6,03-08,7,09-15,3,16-18,1,19,13,20-32
Amira Hondras,LAQ,70,36,1,00,7,01-07,5,08-12,1,13,4,14-17,15,18-32,2,00-01,6,02-07,6,08-13,2,14-15,2,16-17,15,18-32,3,00-02,6,03-08,6,09-14,3,15-17,1,18,14,19-32
Keira Izumi,NYH,60,35,1,00,8,01-08,7,09-15,1,16,1,17,15,18-32,1,00,7,01-07,9,08-16,1,17,1,18,14,19-32,3,00-02,6,03-08,9,09-17,1,18,1,19,13,20-32
Rosi del Castillo,SFF,50,31,1,00,7,01-07,4,08-11,1,12,8,13-20,12,21-32,1,00,7,01-07,7,08-14,1,15,5,16-20,12,21-32,2,00-01,7,02-08,7,09-15,2,16-17,3,18-20,12,21-32
Alyssa Zettlemoyer,NYH,60,31,1,00,7,01-07,7,08-14,1,15,2,16-17,15,18-32,2,00-01,6,02-07,8,08-15,1,16,1,17,15,18-32,3,00-02,5,03-07,8,08-15,2,16-17,1,18,14,19-32
Addisyn Baird,LAQ,60,18,1,00,9,01-09,6,10-15,1,16,1,17,15,18-32,1,00,7,01-07,8,08-15,2,16-17,1,18,14,19-32,3,00-02,6,03-08,8,09-16,3,17-19,1,20,12,21-32
Jua Park,SFF,50,16,1,00,7,01-07,7,08-14,2,15-16,3,17-19,13,20-32,1,00,6,01-06,8,07-14,3,15-17,2,18-19,13,20-32,3,00-02,5,03-07,8,08-15,4,16-19,1,20,12,21-32
Suzu Narasaki,LAQ,50,14,1,00,7,01-07,7,08-14,1,15,3,16-18,14,19-32,1,00,7,01-07,8,08-15,1,16,2,17-18,14,19-32,3,00-02,6,03-08,9,09-17,1,18,1,19,13,20-32
Andreanne Leblanc,SFF,50,12,1,00,7,01-07,7,08-14,1,15,4,16-19,13,20-32,1,00,7,01-07,9,08-16,1,17,2,18-19,13,20-32,3,00-02,6,03-08,9,09-17,1,18,1,19,13,20-32
Maggie Foxx,LAQ,50,12,1,00,5,01-05,7,06-12,1,13,7,14-20,12,21-32,1,00,6,01-06,8,07-14,1,15,4,16-19,13,20-32,2,00-01,6,02-07,9,08-16,1,17,3,18-20,12,21-32
Brittany Apgar,LAQ,50,7,1,00,7,01-07,9,08-16,1,17,1,18,14,19-32,1,00,7,01-07,10,08-17,1,18,1,19,13,20-32,3,00-02,6,03-08,10,09-18,1,19,1,20,12,21-32
Adelaide Frank,LAQ,50,7,1,00,8,01-08,8,09-16,1,17,1,18,14,19-32,1,00,7,01-07,10,08-17,1,18,1,19,13,20-32,3,00-02,6,03-08,10,09-18,1,19,1,20,12,21-32
